Pokemon Name,Primary Type,Secondary Type,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Gen
"""Pidgeotto""","""Normal""","""Flying""","""Red""",63,60,55,50,50,71,349,Gen1
"""Pidgeot""","""Normal""","""Flying""","""Red""",83,80,75,70,70,101,479,Gen1
"""Pidgeot""","""Normal""","""Flying""","""Omega Ruby""",83,80,80,135,80,121,579,Gen6
"""Rattata""","""Normal""",,"""Red""",30,56,35,25,35,72,253,Gen1
"""Rattata""","""Dark""","""Normal""","""Sun""",30,56,35,25,35,72,253,Gen7
"""Raticate""","""Normal""",,"""Red""",55,81,60,50,70,97,413,Gen1
"""Raticate""","""Dark""","""Normal""","""Sun""",75,71,70,40,80,77,413,Gen7
"""Spearow""","""Normal""","""Flying""","""Red""",40,60,30,31,31,70,262,Gen1
"""Fearow""","""Normal""","""Flying""","""Red""",65,90,65,61,61,100,442,Gen1
"""Ekans""","""Poison""",,"""Red""",35,60,44,40,54,55,288,Gen1
"""Arbok""","""Poison""",,"""Red""",60,95,69,65,79,80,448,Gen1
"""Pikachu""","""Electric""",,"""Red""",35,55,40,50,50,90,320,Gen1
"""Pikachu""","""Electric""",,"""Sword""",35,55,40,50,50,90,320,Gen8
"""Pikachu""","""Electric""",,"""Let's Go Pikachu""",45,80,50,75,60,120,430,Gen7
"""Raichu""","""Electric""",,"""Red""",60,90,55,90,80,110,485,Gen1
"""Raichu""","""Electric""",,"""Red""",60,90,55,90,80,110,485,Gen1
"""Raichu""","""Electric""",,"""Red""",60,90,55,90,80,110,485,Gen1
"""Raichu""","""Electric""","""Psychic""","""Sun""",60,85,50,95,85,110,485,Gen7
"""Raichu""","""Electric""","""Psychic""","""Sun""",60,85,50,95,85,110,485,Gen7
"""Sandshrew""","""Ground""",,"""Red""",50,75,85,20,30,40,300,Gen1
"""Sandshrew""","""Ice""","""Steel""","""Sun""",50,75,90,10,35,40,300,Gen7
"""Sandslash""","""Ground""",,"""Red""",75,100,110,45,55,65,450,Gen1
"""Sandslash""","""Ice""","""Steel""","""Sun""",75,100,120,25,65,65,450,Gen7
"""Nidoran (Female)""","""Poison""",,"""Red""",55,47,52,40,40,41,275,Gen1
"""Nidorina""","""Poison""",,"""Red""",70,62,67,55,55,56,365,Gen1
"""Nidoqueen""","""Poison""","""Ground""","""Red""",90,92,87,75,85,76,505,Gen1
"""Nidoran (Male)""","""Poison""",,"""Red""",46,57,40,40,40,50,273,Gen1
"""Nidorino""","""Poison""",,"""Red""",61,72,57,55,55,65,365,Gen1
"""Nidoking""","""Poison""","""Ground""","""Red""",81,102,77,85,75,85,505,Gen1
"""Clefairy""","""Fairy""",,"""Red""",70,45,48,60,65,35,323,Gen1
"""Clefable""","""Fairy""",,"""Red""",95,70,73,95,90,60,483,Gen1
"""Vulpix""","""Fire""",,"""Red""",38,41,40,50,65,65,299,Gen1
"""Vulpix""","""Ice""",,"""Sun""",38,41,40,50,65,65,299,Gen7
"""Ninetales""","""Fire""",,"""Red""",73,76,75,81,100,100,505,Gen1
"""Ninetales""","""Ice""","""Fairy""","""Sun""",73,67,75,81,100,109,505,Gen7
"""Jigglypuff""","""Normal""","""Fairy""","""Red""",115,45,20,45,25,20,270,Gen1
"""Wigglytuff""","""Normal""","""Fairy""","""Red""",140,70,45,85,50,45,435,Gen1
"""Zubat""","""Poison""","""Flying""","""Red""",40,45,35,30,40,55,245,Gen1
"""Golbat""","""Poison""","""Flying""","""Red""",75,80,70,65,75,95,460,Gen1
"""Oddish""","""Grass""","""Poison""","""Red""",45,50,55,75,65,30,320,Gen1
"""Gloom""","""Grass""","""Poison""","""Red""",60,65,70,85,75,40,395,Gen1
"""Vileplume""","""Grass""","""Poison""","""Red""",75,80,85,110,90,50,490,Gen1
"""Paras""","""Bug""","""Grass""","""Red""",35,70,55,45,55,25,285,Gen1
"""Parasect""","""Bug""","""Grass""","""Red""",60,95,80,60,80,30,405,Gen1
"""Venonat""","""Bug""","""Poison""","""Red""",60,55,50,40,55,45,305,Gen1
"""Venomoth""","""Bug""","""Poison""","""Red""",70,65,60,90,75,90,450,Gen1
"""Diglett""","""Ground""",,"""Red""",10,55,25,35,45,95,265,Gen1
"""Diglett""","""Ground""","""Steel""","""Sun""",10,55,30,35,45,90,265,Gen7
"""Dugtrio""","""Ground""","""Steel""","""Sun""",35,100,60,50,70,110,425,Gen7
"""Dugtrio""","""Ground""",,"""Red""",35,100,50,50,70,120,425,Gen1
"""Meowth""","""Normal""",,"""Red""",40,45,35,40,40,90,290,Gen1
"""Meowth""","""Dark""",,"""Sun""",40,35,35,50,40,90,290,Gen7
"""Meowth""","""Steel""",,"""Sword""",50,65,55,40,40,40,290,Gen8
"""Meowth""","""Normal""",,"""Sword""",40,45,35,40,40,90,290,Gen8
"""Persian""","""Normal""",,"""Red""",65,70,60,65,65,115,440,Gen1
"""Persian""","""Dark""",,"""Sun""",65,60,60,75,65,115,440,Gen7
"""Psyduck""","""Water""",,"""Red""",50,52,48,65,50,55,320,Gen1
"""Golduck""","""Water""",,"""Red""",80,82,78,95,80,85,500,Gen1
"""Mankey""","""Fighting""",,"""Red""",40,80,35,35,45,70,305,Gen1
"""Primeape""","""Fighting""",,"""Red""",65,105,60,60,70,95,455,Gen1
"""Growlithe""","""Fire""",,"""Red""",55,70,45,70,50,60,350,Gen1
"""Growlithe""","""Fire""","""Rock""","""Legends Arceus""",60,75,45,65,50,55,350,Gen8
"""Arcanine""","""Fire""",,"""Red""",90,110,80,100,80,95,555,Gen1
"""Arcanine""","""Fire""","""Rock""","""Legends Arceus""",95,115,80,95,80,90,555,Gen8
"""Poliwag""","""Water""",,"""Red""",40,50,40,40,40,90,300,Gen1
"""Poliwhirl""","""Water""",,"""Red""",65,65,65,50,50,90,385,Gen1
"""Poliwrath""","""Water""","""Fighting""","""Red""",90,95,95,70,90,70,510,Gen1
"""Abra""","""Psychic""",,"""Red""",25,20,15,105,55,90,310,Gen1
"""Kadabra""","""Psychic""",,"""Red""",40,35,30,120,70,105,400,Gen1
"""Alakazam""","""Psychic""",,"""Red""",55,50,45,135,95,120,500,Gen1
"""Alakazam""","""Psychic""",,"""Red""",55,50,45,135,95,120,500,Gen1
"""Alakazam""","""Psychic""",,"""X""",55,50,65,175,105,150,600,Gen6
"""Machop""","""Fighting""",,"""Red""",70,80,50,35,35,35,305,Gen1
"""Machoke""","""Fighting""",,"""Red""",80,100,70,50,60,45,405,Gen1
"""Machamp""","""Fighting""",,"""Red""",90,130,80,65,85,55,505,Gen1
"""Machamp""","""Fighting""",,"""Red""",90,130,80,65,85,55,505,Gen1
"""Machamp""","""Fighting""",,"""Sword""",90,130,80,65,85,55,505,Gen8
"""Bellsprout""","""Grass""","""Poison""","""Red""",50,75,35,70,30,40,300,Gen1
"""Weepinbell""","""Grass""","""Poison""","""Red""",65,90,50,85,45,55,390,Gen1
"""Victreebel""","""Grass""","""Poison""","""Red""",80,105,65,100,70,70,490,Gen1
"""Tentacool""","""Water""","""Poison""","""Red""",40,40,35,50,100,70,335,Gen1
"""Tentacruel""","""Water""","""Poison""","""Red""",80,70,65,80,120,100,515,Gen1
"""Geodude""","""Rock""","""Ground""","""Red""",40,80,100,30,30,20,300,Gen1
"""Geodude""","""Rock""","""Electric""","""Sun""",40,80,100,30,30,20,300,Gen7
"""Graveler""","""Rock""","""Electric""","""Sun""",55,95,115,45,45,35,390,Gen7
"""Graveler""","""Rock""","""Ground""","""Red""",55,95,115,45,45,35,390,Gen1
"""Golem""","""Rock""","""Ground""","""Red""",80,120,130,55,65,45,495,Gen1
"""Golem""","""Rock""","""Ground""","""Red""",80,120,130,55,65,45,495,Gen1
"""Golem""","""Rock""","""Electric""","""Sun""",80,120,130,55,65,45,495,Gen7
"""Ponyta""","""Psychic""",,"""Sword""",50,85,55,65,65,90,410,Gen8
"""Ponyta""","""Fire""",,"""Red""",50,85,55,65,65,90,410,Gen1
"""Rapidash""","""Fire""",,"""Red""",65,100,70,80,80,105,500,Gen1
"""Rapidash""","""Psychic""","""Fairy""","""Sword""",65,100,70,80,80,105,500,Gen8
"""Slowpoke""","""Psychic""",,"""Sword""",90,65,65,40,40,15,315,Gen8
"""Slowpoke""","""Water""","""Psychic""","""Red""",90,65,65,40,40,15,315,Gen1
"""Slowbro""","""Water""","""Psychic""","""Omega Ruby""",95,75,180,130,80,30,590,Gen6
"""Slowbro""","""Poison""","""Psychic""","""Sword""",95,100,95,100,70,30,490,Gen8
"""Slowbro""","""Water""","""Psychic""","""Red""",95,75,110,100,80,30,490,Gen1
"""Magnemite""","""Electric""","""Steel""","""Red""",25,35,70,95,55,45,325,Gen1
"""Magneton""","""Electric""","""Steel""","""Red""",50,60,95,120,70,70,465,Gen1
"""Farfetch'd""","""Normal""","""Flying""","""Red""",52,90,55,58,62,60,377,Gen1
"""Farfetch'd""","""Fighting""",,"""Sword""",52,95,55,58,62,55,377,Gen8
"""Doduo""","""Normal""","""Flying""","""Red""",35,85,45,35,35,75,310,Gen1
"""Dodrio""","""Normal""","""Flying""","""Red""",60,110,70,60,60,110,470,Gen1
"""Seel""","""Water""",,"""Red""",65,45,55,45,70,45,325,Gen1
"""Dewgong""","""Water""","""Ice""","""Red""",90,70,80,70,95,70,475,Gen1
"""Grimer""","""Poison""",,"""Red""",80,80,50,40,50,25,325,Gen1
"""Grimer""","""Poison""","""Dark""","""Sun""",80,80,50,40,50,25,325,Gen7
"""Muk""","""Poison""","""Dark""","""Sun""",105,105,75,65,100,50,500,Gen7
"""Muk""","""Poison""",,"""Red""",105,105,75,65,100,50,500,Gen1
"""Shellder""","""Water""",,"""Red""",30,65,100,45,25,40,305,Gen1
"""Cloyster""","""Water""","""Ice""","""Red""",50,95,180,85,45,70,525,Gen1
"""Gastly""","""Ghost""","""Poison""","""Red""",30,35,30,100,35,80,310,Gen1
"""Haunter""","""Ghost""","""Poison""","""Red""",45,50,45,115,55,95,405,Gen1
"""Gengar""","""Ghost""","""Poison""","""Red""",60,65,60,130,75,110,500,Gen1
"""Gengar""","""Ghost""","""Poison""","""Red""",60,65,60,130,75,110,500,Gen1
"""Gengar""","""Ghost""","""Poison""","""Sword""",60,65,60,130,75,110,500,Gen8
"""Gengar""","""Ghost""","""Poison""","""X""",60,65,80,170,95,130,600,Gen6
"""Onix""","""Rock""","""Ground""","""Red""",35,45,160,30,45,70,385,Gen1
"""Drowzee""","""Psychic""",,"""Red""",60,48,45,43,90,42,328,Gen1
"""Hypno""","""Psychic""",,"""Red""",85,73,70,73,115,67,483,Gen1
"""Krabby""","""Water""",,"""Red""",30,105,90,25,25,50,325,Gen1
"""Kingler""","""Water""",,"""Red""",55,130,115,50,50,75,475,Gen1
"""Kingler""","""Water""",,"""Sword""",55,130,115,50,50,75,475,Gen8
"""Voltorb""","""Electric""",,"""Red""",40,30,50,55,55,100,330,Gen1
"""Voltorb""","""Electric""","""Grass""","""Legends Arceus""",40,30,50,55,55,100,330,Gen8
"""Electrode""","""Electric""",,"""Red""",60,50,70,80,80,150,490,Gen1
"""Electrode""","""Electric""","""Grass""","""Legends Arceus""",60,50,70,80,80,150,490,Gen8
"""Exeggcute""","""Grass""","""Psychic""","""Red""",60,40,80,60,45,40,325,Gen1
"""Exeggutor""","""Grass""","""Psychic""","""Red""",95,95,85,125,75,55,530,Gen1
"""Exeggutor""","""Grass""","""Psychic""","""Red""",95,95,85,125,75,55,530,Gen1
"""Exeggutor""","""Grass""","""Psychic""","""Red""",95,95,85,125,75,55,530,Gen1
"""Exeggutor""","""Grass""","""Dragon""","""Sun""",95,105,85,125,75,45,530,Gen7
"""Exeggutor""","""Grass""","""Dragon""","""Sun""",95,105,85,125,75,45,530,Gen7
"""Cubone""","""Ground""",,"""Red""",50,50,95,40,50,35,320,Gen1
"""Marowak""","""Ground""",,"""Red""",60,80,110,50,80,45,425,Gen1
"""Marowak""","""Ground""",,"""Red""",60,80,110,50,80,45,425,Gen1
"""Marowak""","""Ground""",,"""Red""",60,80,110,50,80,45,425,Gen1
"""Marowak""","""Ghost""","""Fire""","""Sun""",60,80,110,50,80,45,425,Gen7
"""Marowak""","""Ghost""","""Fire""","""Sun""",60,80,110,50,80,45,425,Gen7
"""Hitmonlee""","""Fighting""",,"""Red""",50,120,53,35,110,87,455,Gen1
"""Hitmonchan""","""Fighting""",,"""Red""",50,105,79,35,110,76,455,Gen1
"""Lickitung""","""Normal""",,"""Red""",90,55,75,60,75,30,385,Gen1
"""Koffing""","""Poison""",,"""Red""",40,65,95,60,45,35,340,Gen1
"""Weezing""","""Poison""",,"""Red""",65,90,120,85,70,60,490,Gen1
"""Weezing""","""Poison""","""Fairy""","""Sword""",65,90,120,85,70,60,490,Gen8
"""Rhyhorn""","""Ground""","""Rock""","""Red""",80,85,95,30,30,25,345,Gen1
"""Rhydon""","""Ground""","""Rock""","""Red""",105,130,120,45,45,40,485,Gen1
"""Chansey""","""Normal""",,"""Red""",250,5,5,35,105,50,450,Gen1
"""Tangela""","""Grass""",,"""Red""",65,55,115,100,40,60,435,Gen1
"""Kangaskhan""","""Normal""",,"""Red""",105,95,80,40,80,90,490,Gen1
"""Kangaskhan""","""Normal""",,"""X""",105,125,100,60,100,100,590,Gen6
"""Horsea""","""Water""",,"""Red""",30,40,70,70,25,60,295,Gen1
"""Seadra""","""Water""",,"""Red""",55,65,95,95,45,85,440,Gen1
"""Goldeen""","""Water""",,"""Red""",45,67,60,35,50,63,320,Gen1
"""Seaking""","""Water""",,"""Red""",80,92,65,65,80,68,450,Gen1
"""Staryu""","""Water""",,"""Red""",30,45,55,70,55,85,340,Gen1
"""Starmie""","""Water""","""Psychic""","""Red""",60,75,85,100,85,115,520,Gen1
"""Mr. Mime""","""Psychic""","""Fairy""","""Red""",40,45,65,100,120,90,460,Gen1
"""Mr. Mime""","""Ice""","""Psychic""","""Sword""",50,65,65,90,90,100,460,Gen8
"""Scyther""","""Bug""","""Flying""","""Red""",70,110,80,55,80,105,500,Gen1
"""Jynx""","""Ice""","""Psychic""","""Red""",65,50,35,115,95,95,455,Gen1
"""Electabuzz""","""Electric""",,"""Red""",65,83,57,95,85,105,490,Gen1
"""Magmar""","""Fire""",,"""Red""",65,95,57,100,85,93,495,Gen1
"""Pinsir""","""Bug""",,"""Red""",65,125,100,55,70,85,500,Gen1
"""Pinsir""","""Bug""","""Flying""","""X""",65,155,120,65,90,105,600,Gen6
"""Tauros""","""Normal""",,"""Red""",75,100,95,40,70,110,490,Gen1
"""Tauros""","""Fighting""",,"""Scarlet""",75,110,105,30,70,100,490,Gen9
"""Tauros""","""Fighting""","""Fire""","""Scarlet""",75,110,105,30,70,100,490,Gen9
"""Tauros""","""Fighting""","""Water""","""Scarlet""",75,110,105,30,70,100,490,Gen9
"""Magikarp""","""Water""",,"""Red""",20,10,55,15,20,80,200,Gen1
"""Gyarados""","""Water""","""Flying""","""Red""",95,125,79,60,100,81,540,Gen1
"""Gyarados""","""Water""","""Dark""","""X""",95,155,109,70,130,81,640,Gen6
"""Lapras""","""Water""","""Ice""","""Red""",130,85,80,85,95,60,535,Gen1
"""Lapras""","""Water""","""Ice""","""Sword""",130,85,80,85,95,60,535,Gen8
"""Ditto""","""Normal""",,"""Red""",48,48,48,48,48,48,288,Gen1
"""Eevee""","""Normal""",,"""Red""",55,55,50,45,65,55,325,Gen1
"""Eevee""","""Normal""",,"""Sword""",55,55,50,45,65,55,325,Gen8
"""Eevee""","""Normal""",,"""Let's Go Pikachu""",65,75,70,65,85,75,435,Gen7
"""Vaporeon""","""Water""",,"""Red""",130,65,60,110,95,65,525,Gen1
"""Jolteon""","""Electric""",,"""Red""",65,65,60,110,95,130,525,Gen1
"""Flareon""","""Fire""",,"""Red""",65,130,60,95,110,65,525,Gen1
"""Porygon""","""Normal""",,"""Red""",65,60,70,85,75,40,395,Gen1
"""Omanyte""","""Rock""","""Water""","""Red""",35,40,100,90,55,35,355,Gen1
"""Omastar""","""Rock""","""Water""","""Red""",70,60,125,115,70,55,495,Gen1
"""Kabuto""","""Rock""","""Water""","""Red""",30,80,90,55,45,55,355,Gen1
"""Kabutops""","""Rock""","""Water""","""Red""",60,115,105,65,70,80,495,Gen1
"""Aerodactyl""","""Rock""","""Flying""","""Red""",80,105,65,60,75,130,515,Gen1
"""Aerodactyl""","""Rock""","""Flying""","""X""",80,135,85,70,95,150,615,Gen6
"""Snorlax""","""Normal""",,"""Red""",160,110,65,65,110,30,540,Gen1
"""Snorlax""","""Normal""",,"""Sword""",160,110,65,65,110,30,540,Gen8
"""Articuno""","""Ice""","""Flying""","""Red""",90,85,100,95,125,85,580,Gen1
"""Articuno""","""Psychic""","""Flying""","""Sword""",90,85,85,125,100,95,580,Gen8
"""Zapdos""","""Electric""","""Flying""","""Red""",90,90,85,125,90,100,580,Gen1
"""Zapdos""","""Fighting""","""Flying""","""Sword""",90,125,90,85,90,100,580,Gen8
"""Moltres""","""Fire""","""Flying""","""Red""",90,100,90,125,85,90,580,Gen1
"""Moltres""","""Dark""","""Flying""","""Sword""",90,85,90,100,125,90,580,Gen8
"""Dratini""","""Dragon""",,"""Red""",41,64,45,50,50,50,300,Gen1
"""Dragonair""","""Dragon""",,"""Red""",61,84,65,70,70,70,420,Gen1
"""Dragonite""","""Dragon""","""Flying""","""Red""",91,134,95,100,100,80,600,Gen1
"""Mewtwo""","""Psychic""",,"""Red""",106,110,90,154,90,130,680,Gen1
"""Mewtwo""","""Psychic""",,"""X""",106,190,100,154,100,130,780,Gen6
"""Mewtwo""","""Psychic""",,"""X""",106,150,70,194,120,140,780,Gen6
"""Mew""","""Psychic""",,"""Red""",100,100,100,100,100,100,600,Gen1
"""Chikorita""","""Grass""",,"""Gold""",45,49,65,49,65,45,318,Gen2
"""Bayleef""","""Grass""",,"""Gold""",60,62,80,63,80,60,405,Gen2
"""Meganium""","""Grass""",,"""Gold""",80,82,100,83,100,80,525,Gen2
"""Cyndaquil""","""Fire""",,"""Gold""",39,52,43,60,50,65,309,Gen2
"""Quilava""","""Fire""",,"""Gold""",58,64,58,80,65,80,405,Gen2
"""Typhlosion""","""Fire""",,"""Gold""",78,84,78,109,85,100,534,Gen2
"""Typhlosion""","""Fire""","""Ghost""","""Legends Arceus""",73,84,78,119,85,95,534,Gen8
"""Typhlosion""","""Fire""","""Ghost""","""Legends Arceus""",73,84,78,119,85,95,534,Gen8
"""Totodile""","""Water""",,"""Gold""",50,65,64,44,48,43,314,Gen2
"""Croconaw""","""Water""",,"""Gold""",65,80,80,59,63,58,405,Gen2
"""Feraligatr""","""Water""",,"""Gold""",85,105,100,79,83,78,530,Gen2
"""Sentret""","""Normal""",,"""Gold""",35,46,34,35,45,20,215,Gen2
"""Furret""","""Normal""",,"""Gold""",85,76,64,45,55,90,415,Gen2
"""Hoothoot""","""Normal""","""Flying""","""Gold""",60,30,30,36,56,50,262,Gen2
"""Noctowl""","""Normal""","""Flying""","""Gold""",100,50,50,86,96,70,452,Gen2
"""Ledyba""","""Bug""","""Flying""","""Gold""",40,20,30,40,80,55,265,Gen2
"""Ledian""","""Bug""","""Flying""","""Gold""",55,35,50,55,110,85,390,Gen2
"""Spinarak""","""Bug""","""Poison""","""Gold""",40,60,40,40,40,30,250,Gen2
"""Ariados""","""Bug""","""Poison""","""Gold""",70,90,70,60,70,40,400,Gen2
"""Crobat""","""Poison""","""Flying""","""Gold""",85,90,80,70,80,130,535,Gen2
"""Chinchou""","""Water""","""Electric""","""Gold""",75,38,38,56,56,67,330,Gen2
"""Lanturn""","""Water""","""Electric""","""Gold""",125,58,58,76,76,67,460,Gen2
"""Pichu""","""Electric""",,"""Gold""",20,40,15,35,35,60,205,Gen2
"""Cleffa""","""Fairy""",,"""Gold""",50,25,28,45,55,15,218,Gen2
"""Igglybuff""","""Normal""","""Fairy""","""Gold""",90,30,15,40,20,15,210,Gen2
"""Togepi""","""Fairy""",,"""Gold""",35,20,65,40,65,20,245,Gen2
"""Togetic""","""Fairy""","""Flying""","""Gold""",55,40,85,80,105,40,405,Gen2
"""Natu""","""Psychic""","""Flying""","""Gold""",40,50,45,70,45,70,320,Gen2
"""Xatu""","""Psychic""","""Flying""","""Gold""",65,75,70,95,70,95,470,Gen2
"""Mareep""","""Electric""",,"""Gold""",55,40,40,65,45,35,280,Gen2
"""Flaaffy""","""Electric""",,"""Gold""",70,55,55,80,60,45,365,Gen2
"""Ampharos""","""Electric""",,"""Gold""",90,75,85,115,90,55,510,Gen2
"""Ampharos""","""Electric""","""Dragon""","""X""",90,95,105,165,110,45,610,Gen6
"""Bellossom""","""Grass""",,"""Gold""",75,80,95,90,100,50,490,Gen2
"""Marill""","""Water""","""Fairy""","""Gold""",70,20,50,20,50,40,250,Gen2
"""Azumarill""","""Water""","""Fairy""","""Gold""",100,50,80,60,80,50,420,Gen2
"""Sudowoodo""","""Rock""",,"""Gold""",70,110,115,30,65,30,420,Gen2
"""Politoed""","""Water""",,"""Gold""",90,75,75,90,100,70,500,Gen2
"""Hoppip""","""Grass""","""Flying""","""Gold""",35,35,40,35,55,50,250,Gen2
"""Skiploom""","""Grass""","""Flying""","""Gold""",55,45,50,45,65,80,340,Gen2
"""Jumpluff""","""Grass""","""Flying""","""Gold""",75,55,70,55,95,110,460,Gen2
"""Aipom""","""Normal""",,"""Gold""",55,70,55,40,55,85,360,Gen2
"""Sunkern""","""Grass""",,"""Gold""",30,30,30,30,30,30,180,Gen2
"""Sunflora""","""Grass""",,"""Gold""",75,75,55,105,85,30,425,Gen2
"""Yanma""","""Bug""","""Flying""","""Gold""",65,65,45,75,45,95,390,Gen2
"""Wooper""","""Water""","""Ground""","""Gold""",55,45,45,25,25,15,210,Gen2
"""Wooper""","""Poison""","""Ground""","""Scarlet""",55,45,45,25,25,15,210,Gen9
"""Quagsire""","""Water""","""Ground""","""Gold""",95,85,85,65,65,35,430,Gen2
"""Espeon""","""Psychic""",,"""Gold""",65,65,60,130,95,110,525,Gen2
"""Umbreon""","""Dark""",,"""Gold""",95,65,110,60,130,65,525,Gen2
"""Murkrow""","""Dark""","""Flying""","""Gold""",60,85,42,85,42,91,405,Gen2
"""Slowking""","""Water""","""Psychic""","""Gold""",95,75,80,100,110,30,490,Gen2
"""Slowking""","""Poison""","""Psychic""","""Sword""",95,65,80,110,110,30,490,Gen8
"""Misdreavus""","""Ghost""",,"""Gold""",60,60,60,85,85,85,435,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Gold""",48,72,48,72,48,48,336,Gen2
"""Unown""","""Psychic""",,"""Ruby""",48,72,48,72,48,48,336,Gen3
"""Unown""","""Psychic""",,"""Ruby""",48,72,48,72,48,48,336,Gen3
"""Wobbuffet""","""Psychic""",,"""Gold""",190,33,58,33,58,33,405,Gen2
"""Girafarig""","""Normal""","""Psychic""","""Gold""",70,80,65,90,65,85,455,Gen2
"""Pineco""","""Bug""",,"""Gold""",50,65,90,35,35,15,290,Gen2
"""Forretress""","""Bug""","""Steel""","""Gold""",75,90,140,60,60,40,465,Gen2
"""Dunsparce""","""Normal""",,"""Gold""",100,70,70,65,65,45,415,Gen2
"""Gligar""","""Ground""","""Flying""","""Gold""",65,75,105,35,65,85,430,Gen2
"""Steelix""","""Steel""","""Ground""","""Gold""",75,85,200,55,65,30,510,Gen2
"""Steelix""","""Steel""","""Ground""","""Omega Ruby""",75,125,230,55,95,30,610,Gen6
