Pokemon Name,Primary Type,Secondary Type,Secondary Ability,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total
"""Zubat""","""Poison""","""Flying""",,50,"""Red""",40,45,35,30,40,55,245
"""Golbat""","""Poison""","""Flying""",,50,"""Red""",75,80,70,65,75,95,460
"""Oddish""","""Grass""","""Poison""",,50,"""Red""",45,50,55,75,65,30,320
"""Gloom""","""Grass""","""Poison""",,50,"""Red""",60,65,70,85,75,40,395
"""Vileplume""","""Grass""","""Poison""",,50,"""Red""",75,80,85,110,90,50,490
"""Paras""","""Bug""","""Grass""","""Dry Skin""",50,"""Red""",35,70,55,45,55,25,285
"""Parasect""","""Bug""","""Grass""","""Dry Skin""",50,"""Red""",60,95,80,60,80,30,405
"""Venonat""","""Bug""","""Poison""","""Tinted Lens""",50,"""Red""",60,55,50,40,55,45,305
"""Venomoth""","""Bug""","""Poison""","""Tinted Lens""",50,"""Red""",70,65,60,90,75,90,450
"""Diglett""","""Ground""",,"""Arena Trap""",50,"""Red""",10,55,25,35,45,95,265
"""Diglett""","""Ground""","""Steel""","""Tangling Hair""",50,"""Sun""",10,55,30,35,45,90,265
"""Dugtrio""","""Ground""","""Steel""","""Tangling Hair""",50,"""Sun""",35,100,60,50,70,110,425
"""Dugtrio""","""Ground""",,"""Arena Trap""",50,"""Red""",35,100,50,50,70,120,425
"""Meowth""","""Normal""",,"""Technician""",50,"""Red""",40,45,35,40,40,90,290
"""Meowth""","""Dark""",,"""Technician""",50,"""Sun""",40,35,35,50,40,90,290
"""Meowth""","""Steel""",,"""Tough Claws""",50,"""Sword""",50,65,55,40,40,40,290
"""Meowth""","""Normal""",,"""Technician""",50,"""Sword""",40,45,35,40,40,90,290
"""Persian""","""Normal""",,"""Technician""",50,"""Red""",65,70,60,65,65,115,440
"""Persian""","""Dark""",,"""Technician""",50,"""Sun""",65,60,60,75,65,115,440
"""Psyduck""","""Water""",,"""Cloud Nine""",50,"""Red""",50,52,48,65,50,55,320
"""Golduck""","""Water""",,"""Cloud Nine""",50,"""Red""",80,82,78,95,80,85,500
"""Mankey""","""Fighting""",,"""Anger Point""",50,"""Red""",40,80,35,35,45,70,305
"""Primeape""","""Fighting""",,"""Anger Point""",50,"""Red""",65,105,60,60,70,95,455
"""Growlithe""","""Fire""",,"""Flash Fire""",50,"""Red""",55,70,45,70,50,60,350
"""Growlithe""","""Fire""","""Rock""","""Flash Fire""",50,"""Legends Arceus""",60,75,45,65,50,55,350
"""Arcanine""","""Fire""",,"""Flash Fire""",50,"""Red""",90,110,80,100,80,95,555
"""Arcanine""","""Fire""","""Rock""","""Flash Fire""",50,"""Legends Arceus""",95,115,80,95,80,90,555
"""Poliwag""","""Water""",,"""Damp""",50,"""Red""",40,50,40,40,40,90,300
"""Poliwhirl""","""Water""",,"""Damp""",50,"""Red""",65,65,65,50,50,90,385
"""Poliwrath""","""Water""","""Fighting""","""Damp""",50,"""Red""",90,95,95,70,90,70,510
"""Abra""","""Psychic""",,"""Inner Focus""",50,"""Red""",25,20,15,105,55,90,310
"""Kadabra""","""Psychic""",,"""Inner Focus""",50,"""Red""",40,35,30,120,70,105,400
"""Alakazam""","""Psychic""",,"""Inner Focus""",50,"""Red""",55,50,45,135,95,120,500
"""Alakazam""","""Psychic""",,"""Inner Focus""",50,"""Red""",55,50,45,135,95,120,500
"""Alakazam""","""Psychic""",,,70,"""X""",55,50,65,175,105,150,600
"""Machop""","""Fighting""",,"""No Guard""",50,"""Red""",70,80,50,35,35,35,305
"""Machoke""","""Fighting""",,"""No Guard""",50,"""Red""",80,100,70,50,60,45,405
"""Machamp""","""Fighting""",,"""No Guard""",50,"""Red""",90,130,80,65,85,55,505
"""Machamp""","""Fighting""",,"""No Guard""",50,"""Red""",90,130,80,65,85,55,505
"""Machamp""","""Fighting""",,"""No Guard""",50,"""Sword""",90,130,80,65,85,55,505
"""Bellsprout""","""Grass""","""Poison""",,50,"""Red""",50,75,35,70,30,40,300
"""Weepinbell""","""Grass""","""Poison""",,50,"""Red""",65,90,50,85,45,55,390
"""Victreebel""","""Grass""","""Poison""",,50,"""Red""",80,105,65,100,70,70,490
"""Tentacool""","""Water""","""Poison""","""Liquid Ooze""",50,"""Red""",40,40,35,50,100,70,335
"""Tentacruel""","""Water""","""Poison""","""Liquid Ooze""",50,"""Red""",80,70,65,80,120,100,515
"""Geodude""","""Rock""","""Ground""","""Sturdy""",50,"""Red""",40,80,100,30,30,20,300
"""Geodude""","""Rock""","""Electric""","""Sturdy""",70,"""Sun""",40,80,100,30,30,20,300
"""Graveler""","""Rock""","""Electric""","""Sturdy""",70,"""Sun""",55,95,115,45,45,35,390
"""Graveler""","""Rock""","""Ground""","""Sturdy""",50,"""Red""",55,95,115,45,45,35,390
"""Golem""","""Rock""","""Ground""","""Sturdy""",50,"""Red""",80,120,130,55,65,45,495
"""Golem""","""Rock""","""Ground""","""Sturdy""",50,"""Red""",80,120,130,55,65,45,495
"""Golem""","""Rock""","""Electric""","""Sturdy""",70,"""Sun""",80,120,130,55,65,45,495
"""Ponyta""","""Psychic""",,"""Pastel Veil""",50,"""Sword""",50,85,55,65,65,90,410
"""Ponyta""","""Fire""",,"""Flash Fire""",50,"""Red""",50,85,55,65,65,90,410
"""Rapidash""","""Fire""",,"""Flash Fire""",50,"""Red""",65,100,70,80,80,105,500
"""Rapidash""","""Psychic""","""Fairy""","""Pastel Veil""",50,"""Sword""",65,100,70,80,80,105,500
"""Slowpoke""","""Psychic""",,"""Own Tempo""",50,"""Sword""",90,65,65,40,40,15,315
"""Slowpoke""","""Water""","""Psychic""","""Own Tempo""",50,"""Red""",90,65,65,40,40,15,315
"""Slowbro""","""Water""","""Psychic""",,70,"""Omega Ruby""",95,75,180,130,80,30,590
"""Slowbro""","""Poison""","""Psychic""","""Own Tempo""",50,"""Sword""",95,100,95,100,70,30,490
"""Slowbro""","""Water""","""Psychic""","""Own Tempo""",50,"""Red""",95,75,110,100,80,30,490
"""Magnemite""","""Electric""","""Steel""","""Sturdy""",50,"""Red""",25,35,70,95,55,45,325
"""Magneton""","""Electric""","""Steel""","""Sturdy""",50,"""Red""",50,60,95,120,70,70,465
"""Farfetch'd""","""Normal""","""Flying""","""Inner Focus""",50,"""Red""",52,90,55,58,62,60,377
"""Farfetch'd""","""Fighting""",,,50,"""Sword""",52,95,55,58,62,55,377
"""Doduo""","""Normal""","""Flying""","""Early Bird""",50,"""Red""",35,85,45,35,35,75,310
"""Dodrio""","""Normal""","""Flying""","""Early Bird""",50,"""Red""",60,110,70,60,60,110,470
"""Seel""","""Water""",,"""Hydration""",50,"""Red""",65,45,55,45,70,45,325
"""Dewgong""","""Water""","""Ice""","""Hydration""",50,"""Red""",90,70,80,70,95,70,475
"""Grimer""","""Poison""",,"""Sticky Hold""",50,"""Red""",80,80,50,40,50,25,325
"""Grimer""","""Poison""","""Dark""","""Gluttony""",50,"""Sun""",80,80,50,40,50,25,325
"""Muk""","""Poison""","""Dark""","""Gluttony""",50,"""Sun""",105,105,75,65,100,50,500
"""Muk""","""Poison""",,"""Sticky Hold""",50,"""Red""",105,105,75,65,100,50,500
"""Shellder""","""Water""",,"""Skill Link""",50,"""Red""",30,65,100,45,25,40,305
"""Cloyster""","""Water""","""Ice""","""Skill Link""",50,"""Red""",50,95,180,85,45,70,525
"""Gastly""","""Ghost""","""Poison""",,50,"""Red""",30,35,30,100,35,80,310
"""Haunter""","""Ghost""","""Poison""",,50,"""Red""",45,50,45,115,55,95,405
"""Gengar""","""Ghost""","""Poison""",,50,"""Red""",60,65,60,130,75,110,500
"""Gengar""","""Ghost""","""Poison""",,50,"""Red""",60,65,60,130,75,110,500
"""Gengar""","""Ghost""","""Poison""",,50,"""Sword""",60,65,60,130,75,110,500
"""Gengar""","""Ghost""","""Poison""",,70,"""X""",60,65,80,170,95,130,600
"""Onix""","""Rock""","""Ground""","""Sturdy""",50,"""Red""",35,45,160,30,45,70,385
"""Drowzee""","""Psychic""",,"""Forewarn""",50,"""Red""",60,48,45,43,90,42,328
"""Hypno""","""Psychic""",,"""Forewarn""",50,"""Red""",85,73,70,73,115,67,483
"""Krabby""","""Water""",,"""Shell Armor""",50,"""Red""",30,105,90,25,25,50,325
"""Kingler""","""Water""",,"""Shell Armor""",50,"""Red""",55,130,115,50,50,75,475
"""Kingler""","""Water""",,"""Shell Armor""",50,"""Sword""",55,130,115,50,50,75,475
"""Voltorb""","""Electric""",,"""Static""",50,"""Red""",40,30,50,55,55,100,330
"""Voltorb""","""Electric""","""Grass""","""Static""",50,"""Legends Arceus""",40,30,50,55,55,100,330
"""Electrode""","""Electric""",,"""Static""",50,"""Red""",60,50,70,80,80,150,490
"""Electrode""","""Electric""","""Grass""","""Static""",50,"""Legends Arceus""",60,50,70,80,80,150,490
"""Exeggcute""","""Grass""","""Psychic""",,50,"""Red""",60,40,80,60,45,40,325
"""Exeggutor""","""Grass""","""Psychic""",,50,"""Red""",95,95,85,125,75,55,530
"""Exeggutor""","""Grass""","""Psychic""",,50,"""Red""",95,95,85,125,75,55,530
"""Exeggutor""","""Grass""","""Psychic""",,50,"""Red""",95,95,85,125,75,55,530
"""Exeggutor""","""Grass""","""Dragon""",,50,"""Sun""",95,105,85,125,75,45,530
"""Exeggutor""","""Grass""","""Dragon""",,50,"""Sun""",95,105,85,125,75,45,530
"""Cubone""","""Ground""",,"""Lightning Rod""",50,"""Red""",50,50,95,40,50,35,320
"""Marowak""","""Ground""",,"""Lightning Rod""",50,"""Red""",60,80,110,50,80,45,425
"""Marowak""","""Ground""",,"""Lightning Rod""",50,"""Red""",60,80,110,50,80,45,425
"""Marowak""","""Ground""",,"""Lightning Rod""",50,"""Red""",60,80,110,50,80,45,425
"""Marowak""","""Ghost""","""Fire""","""Lightning Rod""",50,"""Sun""",60,80,110,50,80,45,425
"""Marowak""","""Ghost""","""Fire""","""Lightning Rod""",50,"""Sun""",60,80,110,50,80,45,425
"""Hitmonlee""","""Fighting""",,"""Reckless""",50,"""Red""",50,120,53,35,110,87,455
"""Hitmonchan""","""Fighting""",,"""Iron Fist""",50,"""Red""",50,105,79,35,110,76,455
"""Lickitung""","""Normal""",,"""Oblivious""",50,"""Red""",90,55,75,60,75,30,385
"""Koffing""","""Poison""",,"""Neutralizing Gas""",50,"""Red""",40,65,95,60,45,35,340
"""Weezing""","""Poison""",,"""Neutralizing Gas""",50,"""Red""",65,90,120,85,70,60,490
"""Weezing""","""Poison""","""Fairy""","""Neutralizing Gas""",50,"""Sword""",65,90,120,85,70,60,490
"""Rhyhorn""","""Ground""","""Rock""","""Rock Head""",50,"""Red""",80,85,95,30,30,25,345
"""Rhydon""","""Ground""","""Rock""","""Rock Head""",50,"""Red""",105,130,120,45,45,40,485
"""Chansey""","""Normal""",,"""Serene Grace""",140,"""Red""",250,5,5,35,105,50,450
"""Tangela""","""Grass""",,"""Leaf Guard""",50,"""Red""",65,55,115,100,40,60,435
"""Kangaskhan""","""Normal""",,"""Scrappy""",50,"""Red""",105,95,80,40,80,90,490
"""Kangaskhan""","""Normal""",,,70,"""X""",105,125,100,60,100,100,590
"""Horsea""","""Water""",,"""Sniper""",50,"""Red""",30,40,70,70,25,60,295
"""Seadra""","""Water""",,"""Sniper""",50,"""Red""",55,65,95,95,45,85,440
"""Goldeen""","""Water""",,"""Water Veil""",50,"""Red""",45,67,60,35,50,63,320
"""Seaking""","""Water""",,"""Water Veil""",50,"""Red""",80,92,65,65,80,68,450
"""Staryu""","""Water""",,"""Natural Cure""",50,"""Red""",30,45,55,70,55,85,340
"""Starmie""","""Water""","""Psychic""","""Natural Cure""",50,"""Red""",60,75,85,100,85,115,520
"""Mr. Mime""","""Psychic""","""Fairy""","""Filter""",50,"""Red""",40,45,65,100,120,90,460
"""Mr. Mime""","""Ice""","""Psychic""","""Screen Cleaner""",50,"""Sword""",50,65,65,90,90,100,460
"""Scyther""","""Bug""","""Flying""","""Technician""",50,"""Red""",70,110,80,55,80,105,500
"""Jynx""","""Ice""","""Psychic""","""Forewarn""",50,"""Red""",65,50,35,115,95,95,455
"""Electabuzz""","""Electric""",,,50,"""Red""",65,83,57,95,85,105,490
"""Magmar""","""Fire""",,,50,"""Red""",65,95,57,100,85,93,495
"""Pinsir""","""Bug""",,"""Mold Breaker""",50,"""Red""",65,125,100,55,70,85,500
"""Pinsir""","""Bug""","""Flying""",,70,"""X""",65,155,120,65,90,105,600
"""Tauros""","""Normal""",,"""Anger Point""",50,"""Red""",75,100,95,40,70,110,490
"""Tauros""","""Fighting""",,"""Anger Point""",70,"""Scarlet""",75,110,105,30,70,100,490
"""Tauros""","""Fighting""","""Fire""","""Anger Point""",70,"""Scarlet""",75,110,105,30,70,100,490
"""Tauros""","""Fighting""","""Water""","""Anger Point""",70,"""Scarlet""",75,110,105,30,70,100,490
"""Magikarp""","""Water""",,,50,"""Red""",20,10,55,15,20,80,200
"""Gyarados""","""Water""","""Flying""",,50,"""Red""",95,125,79,60,100,81,540
"""Gyarados""","""Water""","""Dark""",,70,"""X""",95,155,109,70,130,81,640
"""Lapras""","""Water""","""Ice""","""Shell Armor""",50,"""Red""",130,85,80,85,95,60,535
"""Lapras""","""Water""","""Ice""","""Shell Armor""",50,"""Sword""",130,85,80,85,95,60,535
"""Ditto""","""Normal""",,,50,"""Red""",48,48,48,48,48,48,288
"""Eevee""","""Normal""",,"""Adaptability""",50,"""Red""",55,55,50,45,65,55,325
"""Eevee""","""Normal""",,"""Adaptability""",50,"""Sword""",55,55,50,45,65,55,325
"""Eevee""","""Normal""",,"""Adaptability""",70,"""Let's Go Pikachu""",65,75,70,65,85,75,435
"""Vaporeon""","""Water""",,,50,"""Red""",130,65,60,110,95,65,525
"""Jolteon""","""Electric""",,,50,"""Red""",65,65,60,110,95,130,525
"""Flareon""","""Fire""",,,50,"""Red""",65,130,60,95,110,65,525
"""Porygon""","""Normal""",,"""Download""",50,"""Red""",65,60,70,85,75,40,395
"""Omanyte""","""Rock""","""Water""","""Shell Armor""",50,"""Red""",35,40,100,90,55,35,355
"""Omastar""","""Rock""","""Water""","""Shell Armor""",50,"""Red""",70,60,125,115,70,55,495
"""Kabuto""","""Rock""","""Water""","""Battle Armor""",50,"""Red""",30,80,90,55,45,55,355
"""Kabutops""","""Rock""","""Water""","""Battle Armor""",50,"""Red""",60,115,105,65,70,80,495
"""Aerodactyl""","""Rock""","""Flying""","""Pressure""",50,"""Red""",80,105,65,60,75,130,515
"""Aerodactyl""","""Rock""","""Flying""",,70,"""X""",80,135,85,70,95,150,615
"""Snorlax""","""Normal""",,"""Thick Fat""",50,"""Red""",160,110,65,65,110,30,540
"""Snorlax""","""Normal""",,"""Thick Fat""",50,"""Sword""",160,110,65,65,110,30,540
"""Articuno""","""Ice""","""Flying""",,35,"""Red""",90,85,100,95,125,85,580
"""Articuno""","""Psychic""","""Flying""",,35,"""Sword""",90,85,85,125,100,95,580
"""Zapdos""","""Electric""","""Flying""",,35,"""Red""",90,90,85,125,90,100,580
"""Zapdos""","""Fighting""","""Flying""",,35,"""Sword""",90,125,90,85,90,100,580
"""Moltres""","""Fire""","""Flying""",,35,"""Red""",90,100,90,125,85,90,580
"""Moltres""","""Dark""","""Flying""",,35,"""Sword""",90,85,90,100,125,90,580
"""Dratini""","""Dragon""",,,35,"""Red""",41,64,45,50,50,50,300
"""Dragonair""","""Dragon""",,,35,"""Red""",61,84,65,70,70,70,420
"""Dragonite""","""Dragon""","""Flying""",,35,"""Red""",91,134,95,100,100,80,600
"""Mewtwo""","""Psychic""",,,0,"""Red""",106,110,90,154,90,130,680
"""Mewtwo""","""Psychic""",,,0,"""X""",106,190,100,154,100,130,780
"""Mewtwo""","""Psychic""",,,0,"""X""",106,150,70,194,120,140,780
"""Mew""","""Psychic""",,,100,"""Red""",100,100,100,100,100,100,600
"""Chikorita""","""Grass""",,,50,"""Gold""",45,49,65,49,65,45,318
"""Bayleef""","""Grass""",,,50,"""Gold""",60,62,80,63,80,60,405
"""Meganium""","""Grass""",,,50,"""Gold""",80,82,100,83,100,80,525
"""Cyndaquil""","""Fire""",,,50,"""Gold""",39,52,43,60,50,65,309
"""Quilava""","""Fire""",,,50,"""Gold""",58,64,58,80,65,80,405
"""Typhlosion""","""Fire""",,,50,"""Gold""",78,84,78,109,85,100,534
"""Typhlosion""","""Fire""","""Ghost""",,50,"""Legends Arceus""",73,84,78,119,85,95,534
"""Typhlosion""","""Fire""","""Ghost""",,50,"""Legends Arceus""",73,84,78,119,85,95,534
"""Totodile""","""Water""",,,50,"""Gold""",50,65,64,44,48,43,314
"""Croconaw""","""Water""",,,50,"""Gold""",65,80,80,59,63,58,405
"""Feraligatr""","""Water""",,,50,"""Gold""",85,105,100,79,83,78,530
"""Sentret""","""Normal""",,"""Keen Eye""",50,"""Gold""",35,46,34,35,45,20,215
"""Furret""","""Normal""",,"""Keen Eye""",50,"""Gold""",85,76,64,45,55,90,415
"""Hoothoot""","""Normal""","""Flying""","""Keen Eye""",50,"""Gold""",60,30,30,36,56,50,262
"""Noctowl""","""Normal""","""Flying""","""Keen Eye""",50,"""Gold""",100,50,50,86,96,70,452
"""Ledyba""","""Bug""","""Flying""","""Early Bird""",50,"""Gold""",40,20,30,40,80,55,265
"""Ledian""","""Bug""","""Flying""","""Early Bird""",50,"""Gold""",55,35,50,55,110,85,390
"""Spinarak""","""Bug""","""Poison""","""Insomnia""",50,"""Gold""",40,60,40,40,40,30,250
"""Ariados""","""Bug""","""Poison""","""Insomnia""",50,"""Gold""",70,90,70,60,70,40,400
"""Crobat""","""Poison""","""Flying""",,50,"""Gold""",85,90,80,70,80,130,535
"""Chinchou""","""Water""","""Electric""","""Illuminate""",50,"""Gold""",75,38,38,56,56,67,330
"""Lanturn""","""Water""","""Electric""","""Illuminate""",50,"""Gold""",125,58,58,76,76,67,460
"""Pichu""","""Electric""",,,50,"""Gold""",20,40,15,35,35,60,205
"""Cleffa""","""Fairy""",,"""Magic Bounce""",140,"""Gold""",50,25,28,45,55,15,218
"""Igglybuff""","""Normal""","""Fairy""","""Competitive""",50,"""Gold""",90,30,15,40,20,15,210
"""Togepi""","""Fairy""",,"""Serene Grace""",50,"""Gold""",35,20,65,40,65,20,245
"""Togetic""","""Fairy""","""Flying""","""Serene Grace""",50,"""Gold""",55,40,85,80,105,40,405
"""Natu""","""Psychic""","""Flying""","""Early Bird""",50,"""Gold""",40,50,45,70,45,70,320
"""Xatu""","""Psychic""","""Flying""","""Early Bird""",50,"""Gold""",65,75,70,95,70,95,470
"""Mareep""","""Electric""",,,50,"""Gold""",55,40,40,65,45,35,280
"""Flaaffy""","""Electric""",,,50,"""Gold""",70,55,55,80,60,45,365
"""Ampharos""","""Electric""",,,50,"""Gold""",90,75,85,115,90,55,510
"""Ampharos""","""Electric""","""Dragon""",,70,"""X""",90,95,105,165,110,45,610
"""Bellossom""","""Grass""",,,50,"""Gold""",75,80,95,90,100,50,490
"""Marill""","""Water""","""Fairy""","""Huge Power""",50,"""Gold""",70,20,50,20,50,40,250
"""Azumarill""","""Water""","""Fairy""","""Huge Power""",50,"""Gold""",100,50,80,60,80,50,420
"""Sudowoodo""","""Rock""",,"""Rock Head""",50,"""Gold""",70,110,115,30,65,30,420
"""Politoed""","""Water""",,"""Damp""",50,"""Gold""",90,75,75,90,100,70,500
"""Hoppip""","""Grass""","""Flying""","""Leaf Guard""",50,"""Gold""",35,35,40,35,55,50,250
"""Skiploom""","""Grass""","""Flying""","""Leaf Guard""",50,"""Gold""",55,45,50,45,65,80,340
"""Jumpluff""","""Grass""","""Flying""","""Leaf Guard""",50,"""Gold""",75,55,70,55,95,110,460
"""Aipom""","""Normal""",,"""Pickup""",50,"""Gold""",55,70,55,40,55,85,360
"""Sunkern""","""Grass""",,"""Solar Power""",50,"""Gold""",30,30,30,30,30,30,180
"""Sunflora""","""Grass""",,"""Solar Power""",50,"""Gold""",75,75,55,105,85,30,425
"""Yanma""","""Bug""","""Flying""","""Compound Eyes""",50,"""Gold""",65,65,45,75,45,95,390
"""Wooper""","""Water""","""Ground""","""Water Absorb""",50,"""Gold""",55,45,45,25,25,15,210
"""Wooper""","""Poison""","""Ground""","""Water Absorb""",70,"""Scarlet""",55,45,45,25,25,15,210
"""Quagsire""","""Water""","""Ground""","""Water Absorb""",50,"""Gold""",95,85,85,65,65,35,430
"""Espeon""","""Psychic""",,,50,"""Gold""",65,65,60,130,95,110,525
"""Umbreon""","""Dark""",,,35,"""Gold""",95,65,110,60,130,65,525
"""Murkrow""","""Dark""","""Flying""","""Super Luck""",35,"""Gold""",60,85,42,85,42,91,405
"""Slowking""","""Water""","""Psychic""","""Own Tempo""",50,"""Gold""",95,75,80,100,110,30,490
"""Slowking""","""Poison""","""Psychic""","""Own Tempo""",50,"""Sword""",95,65,80,110,110,30,490
"""Misdreavus""","""Ghost""",,,35,"""Gold""",60,60,60,85,85,85,435
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
"""Unown""","""Psychic""",,,50,"""Gold""",48,72,48,72,48,48,336
